,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,0.9880156993865967,0.009365574638271824,0.02543463706970215,0.0005361851311269895,0.01,balanced,scale,sigmoid,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.05947955390334572,0.2379182156133829,0.1994795539033457,0.07002251903372433,59
1,0.9716840744018554,0.005592640510258893,0.024408817291259766,0.0013693994195674193,0.01,balanced,scale,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.05947955390334572,0.2379182156133829,0.1994795539033457,0.07002251903372433,59
26,0.7026137828826904,0.02522866925015907,0.02331719398498535,0.0006363124438026018,1,balanced,scale,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.21851851851851853,0.18888888888888888,0.21481481481481482,0.1524163568773234,0.17472118959107807,0.18987195373812474,0.024804055310954566,63
14,0.9651482105255127,0.004900458196123493,0.024984121322631836,0.0002470792828803683,0.1,balanced,scale,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.2,0.17037037037037037,0.15925925925925927,0.1524163568773234,0.18587360594795538,0.17358391849098168,0.017392148794083327,64
47,0.7149003505706787,0.009959552012238007,0.02580409049987793,0.001033137195000975,1.5,,auto,sigmoid,"{'C': 1.5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.17037037037037037,0.22962962962962963,0.1259259259259259,0.16728624535315986,0.1412639405204461,0.16689522235990636,0.03544934771526438,65
59,0.6380599021911622,0.011454941437892411,0.02458534240722656,0.0008478967936452486,5,,auto,sigmoid,"{'C': 5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.15185185185185185,0.22592592592592592,0.1111111111111111,0.137546468401487,0.137546468401487,0.15279636513837255,0.038862845677118237,66
71,0.6055011749267578,0.017582452577472218,0.02419123649597168,0.0007206958454128365,10,,auto,sigmoid,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.13333333333333333,0.16296296296296298,0.1111111111111111,0.11524163568773234,0.137546468401487,0.13203910229932533,0.018484734098375654,67
53,0.8436707973480224,0.027221314518647847,0.024907588958740234,0.0003928059654446534,5,balanced,auto,sigmoid,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.14444444444444443,0.14814814814814814,0.13703703703703704,0.12639405204460966,0.09293680297397769,0.12979209692964339,0.019869496535090264,68
65,0.7831454277038574,0.02498098907435054,0.02523651123046875,0.0016149323213759134,10,balanced,auto,sigmoid,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.12222222222222222,0.14074074074074075,0.12962962962962962,0.10037174721189591,0.08550185873605948,0.11569323970810959,0.02005240884285424,69
41,0.9675314903259278,0.004845375531839496,0.026620960235595702,0.0015095835634062426,1.5,balanced,auto,sigmoid,"{'C': 1.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.06666666666666667,0.08518518518518518,0.08148148148148149,0.07806691449814127,0.08550185873605948,0.07938042131350681,0.006912981859193348,70
17,0.9697852611541748,0.0027243882050183806,0.025221633911132812,0.00011377492473494933,0.1,balanced,auto,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.06296296296296296,0.06666666666666667,0.06296296296296296,0.05947955390334572,0.05947955390334572,0.06231034007985681,0.0026779139396293714,71
29,0.9728962898254394,0.004255690927568299,0.02560577392578125,0.0002738597725344771,1,balanced,auto,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.06666666666666667,0.07037037037037037,0.044444444444444446,0.06319702602230483,0.055762081784386616,0.06008811785763459,0.009188105758102992,72
