,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
746,0.11097574234008789,0.001434737543455277,0.010186481475830077,0.0003948411613967009,,gini,40,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
750,0.11770462989807129,0.0007131813007901941,0.010355949401855469,0.00036039600361367086,,gini,41,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 41, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
766,0.11699852943420411,0.0026731975432290585,0.010332775115966798,0.0002957751514519641,,gini,45,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 45, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
754,0.11414408683776855,0.002933948729185126,0.010164165496826172,0.00013868319973489942,,gini,42,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 42, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
734,0.11426200866699218,0.0027950601237903064,0.010533905029296875,0.0006767486669150285,,gini,37,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 37, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
730,0.11616015434265137,0.006668995694159611,0.010205554962158202,8.582690018664867e-05,,gini,36,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 36, 'n_estimators': 50}",0.9222222222222223,0.9,0.9037037037037037,0.9070631970260223,0.8773234200743495,0.9020625086052595,0.014494073976888868,21
314,0.11701130867004395,0.003971393806331223,0.010147619247436523,0.00022126289252557603,balanced,gini,30,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'n_estimators': 50}",0.9222222222222223,0.9074074074074074,0.9037037037037037,0.9070631970260223,0.8698884758364313,0.9020570012391573,0.01730809426430358,37
691,0.2259387969970703,0.0035350839387001233,0.018856620788574217,0.00047388852152063186,,gini,26,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 26, 'n_estimators': 100}",0.9185185185185185,0.9,0.8962962962962963,0.9070631970260223,0.8847583643122676,0.9013272752306211,0.011225336184029506,38
703,0.2283325672149658,0.007268872852171416,0.018840980529785157,0.0007450961278726824,,gini,29,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 29, 'n_estimators': 100}",0.9185185185185185,0.9,0.8962962962962963,0.9107806691449815,0.8810408921933085,0.901327275230621,0.012833668591605039,39
715,0.2224092960357666,0.005173012833743718,0.01810288429260254,0.0001255894391626506,,gini,32,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 32, 'n_estimators': 100}",0.9185185185185185,0.9074074074074074,0.9,0.9033457249070632,0.8773234200743495,0.9013190141814678,0.013524255046719738,40
