,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
176,0.004016256332397461,4.580779784726546e-05,0.001393747329711914,1.9896398264351383e-05,,gini,30,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 30}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
185,0.004021739959716797,4.0973771030052564e-05,0.0013851642608642579,3.117778527789264e-05,,gini,39,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 39}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
190,0.004061317443847657,6.709500404490628e-05,0.0014527797698974609,0.00017578352034281478,,gini,44,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 44}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
191,0.004067373275756836,0.00014589303333721452,0.0013669490814208984,1.163482666015625e-05,,gini,45,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 45}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
192,0.004043102264404297,8.743768573852182e-05,0.0013949871063232422,3.711282141972592e-05,,gini,46,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 46}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
193,0.004023218154907226,9.774726764956486e-05,0.0013883113861083984,4.670156857059637e-05,,gini,47,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 47}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
189,0.003995752334594727,3.498620227223981e-05,0.0013627052307128907,2.224331624925728e-06,,gini,43,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 43}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
184,0.0040438175201416016,2.467649570349323e-05,0.001392030715942383,3.324810130402769e-05,,gini,38,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 38}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
180,0.00406942367553711,0.00010761662174523339,0.0013769149780273437,1.2290379471113036e-05,,gini,34,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 34}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
182,0.0040130138397216795,7.415260902731773e-05,0.0013894081115722657,5.2544469108151776e-05,,gini,36,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 36}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
